channel,spend,optimized_budget,markov_revenue,estimated_new_revenue,markov_roas,new_roas
Email,174993.39,315614.57064755587,679317.2526885687,1026520.0221883872,3.881959499662065,3.252448136606131
Facebook_Ads,1607204.8,1560850.5029215612,662012.939693278,648588.9416584063,0.4119032868078032,0.4155355945008145
Instagram_Ads,1292908.51,1255619.0088936186,563198.1668534206,551777.8899497901,0.4356055842291738,0.43944690709643364
Paid_Search,1975530.39,1918553.0075372646,787698.5484771007,771725.954691053,0.398727629027818,0.4022437491480483
